Mach,Alpha,CD,CD Power-Off,CD Power-On,CA Power-Off,CA Power-On,CL,CN,CN Potential,CN Viscous,CNalpha (0 to 4 deg) (per rad),CP,CP (0 to 4 deg),Reynolds Number
0.01,0,0.3259001838549607053982583201,0.325900183854961,0.277823930763448,0.325900183854961,0.277823930763448,0,0,0,0,5.87720365561468,122.27346401462546258140343797,122.27346401462546258140343797,1075463
0.02,0,0.3469014503738798158943373982,0.34690145037388,0.298825197282367,0.34690145037388,0.298825197282367,0,0,0,0,5.87720365561468,122.27346401462546258140343797,122.27346401462546258140343797,2150926
0.03,0,0.3467221611857710010709585339,0.346722161185771,0.298645908094258,0.346722161185771,0.298645908094258,0,0,0,0,5.87720365561468,122.27346401462546258140343797,122.27346401462546258140343797,3226389
0.04,0,0.3434499851009135383175898946,0.343449985100914,0.2953737320094,0.343449985100914,0.2953737320094,0,0,0,0,5.87720365561468,122.27346401462546258140343797,122.27346401462546258140343797,4301852
0.05,0,0.3397212206355843322489575849,0.339721220635584,0.291644967544071,0.339721220635584,0.291644967544071,0,0,0,0,5.87720365561468,122.27346401462546258140343797,122.27346401462546258140343797,5377315
0.06,0,0.3361247100263681487833671977,0.336124710026368,0.288048456934855,0.336124710026368,0.288048456934855,0,0,0,0,5.87720365561468,122.27346401462546258140343797,122.27346401462546258140343797,6452778
0.07,0,0.3327981751345248235941244542,0.332798175134525,0.284721922043012,0.332798175134525,0.284721922043012,0,0,0,0,5.87720365561468,122.27346401462546258140343797,122.27346401462546258140343797,7528240
0.08,0,0.3297564132884203459560737344,0.32975641328842,0.281680160196907,0.32975641328842,0.281680160196907,0,0,0,0,5.87720365561468,122.27346401462546258140343797,122.27346401462546258140343797,8603703
0.09,0,0.3269789718833083980394560599,0.326978971883308,0.278902718791795,0.326978971883308,0.278902718791795,0,0,0,0,5.87720365561468,122.27346401462546258140343797,122.27346401462546258140343797,9679167
0.10,0,0.3250373815803238384977969997,0.325037381580324,0.276961128488811,0.325037381580324,0.276961128488811,0,0,0,0,5.87720365561468,122.27346401462546258140343797,122.27346401462546258140343797,10754630
0.11,0,0.3249882772346456002029166317,0.324988277234646,0.276912024143132,0.324988277234646,0.276912024143132,0,0,0,0,5.87720365561468,122.27346401462546258140343797,122.27346401462546258140343797,11830090
0.12,0,0.3249392561439251437275133005,0.324939256143925,0.276863003052412,0.324939256143925,0.276863003052412,0,0,0,0,5.87720365561468,122.27346401462546258140343797,122.27346401462546258140343797,12905560
0.13,0,0.3248903180913448538455450141,0.324890318091345,0.276814064999832,0.324890318091345,0.276814064999832,0,0,0,0,5.87720365561468,122.27346401462546258140343797,122.27346401462546258140343797,13981020
0.14,0,0.3248414628605406597533811168,0.324841462860541,0.276765209769027,0.324841462860541,0.276765209769027,0,0,0,0,5.87720365561468,122.27346401462546258140343797,122.27346401462546258140343797,15056480
0.15,0,0.3247926902356065889965823781,0.324792690235607,0.276716437144093,0.324792690235607,0.276716437144093,0,0,0,0,5.87720365561468,122.27346401462546258140343797,122.27346401462546258140343797,16131940
0.16,0,0.3247440000011012393722744446,0.324744000001101,0.276667746909588,0.324744000001101,0.276667746909588,0,0,0,0,5.87720365561468,122.27346401462546258140343797,122.27346401462546258140343797,17207410
0.17,0,0.3246953919420467789291478404,0.324695391942047,0.276619138850534,0.324695391942047,0.276619138850534,0,0,0,0,5.87720365561468,122.27346401462546258140343797,122.27346401462546258140343797,18282870
0.18,0,0.3246468658439353088820347374,0.324646865843935,0.276570612752422,0.324646865843935,0.276570612752422,0,0,0,0,5.87720365561468,122.27346401462546258140343797,122.27346401462546258140343797,19358330
